customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
1,AW00011000,Jon Yang,55,50 and above,VIP,2013-05-03,159,3,8249,8,8,2749,294
2,AW00011001,Eugene Huang,50,50 and above,VIP,2013-12-10,152,3,6384,11,10,2128,182
3,AW00011002,Ruben Torres,55,50 and above,VIP,2013-02-23,162,3,8114,4,4,2704,324
4,AW00011003,Christy Zhu,53,50 and above,VIP,2013-05-10,159,3,8139,9,9,2713,280
5,AW00011004,Elizabeth Johnson,47,40-49,VIP,2013-05-01,159,3,8196,6,6,2732,292
6,AW00011005,Julio Ruiz,50,50 and above,VIP,2013-05-02,159,3,8121,6,6,2707,280
7,AW00011006,Janet Alvarez,50,50 and above,VIP,2013-05-14,159,3,8119,5,5,2706,289
8,AW00011007,Marco Mehta,57,50 and above,VIP,2013-03-19,161,3,8211,8,8,2737,315
9,AW00011008,Rob Verhoff,51,50 and above,VIP,2013-03-02,161,3,8106,7,7,2702,311
10,AW00011009,Shannon Carlson,57,50 and above,VIP,2013-05-09,159,3,8091,5,5,2697,288
11,AW00011010,Jacquelyn Suarez,57,50 and above,VIP,2013-05-23,159,3,8088,4,4,2696,288
12,AW00011011,Curtis Lu,57,50 and above,VIP,2013-03-19,161,3,8133,4,4,2711,301
13,AW00011012,Lauren Walker,47,40-49,New,2013-10-15,154,2,81,5,5,40,11
14,AW00011013,Ian Jenkins,47,40-49,New,2014-01-21,151,2,114,5,5,57,12
15,AW00011014,Sydney Bennett,53,50 and above,New,2013-04-30,160,2,138,6,5,69,138
16,AW00011015,Chloe Young,42,40-49,New,2013-01-18,163,1,2501,3,3,2501,2501
17,AW00011016,Wyatt Hill,42,40-49,New,2013-02-09,162,1,2332,3,3,2332,2332
18,AW00011017,Shannon Wang,77,50 and above,VIP,2013-10-14,154,3,6434,4,4,2144,194
19,AW00011018,Clarence Rai,71,50 and above,VIP,2013-10-24,154,3,6533,7,7,2177,197
20,AW00011019,Luke Lal,43,40-49,New,2014-01-12,151,17,880,33,20,51,80
21,AW00011020,Jordan King,42,40-49,New,2012-12-29,164,1,2317,2,2,2317,2317
22,AW00011021,Destiny Wilson,42,40-49,New,2013-01-23,163,1,2372,3,3,2372,2372
23,AW00011022,Ethan Zhang,42,40-49,New,2013-01-20,163,1,2322,2,2,2322,2322
24,AW00011023,Seth Edwards,42,40-49,New,2014-01-14,151,2,122,6,6,61,11
25,AW00011024,Russell Xie,42,40-49,New,2013-07-26,157,2,56,6,5,28,56
26,AW00011025,Alejandro Beck,75,50 and above,VIP,2013-10-25,154,3,6577,6,6,2192,199
27,AW00011026,Harold Sai,75,50 and above,VIP,2013-10-15,154,3,6575,7,7,2191,199
28,AW00011027,Jessie Zhao,74,50 and above,VIP,2013-10-24,154,3,6591,9,9,2197,199
29,AW00011028,Jill Jimenez,75,50 and above,VIP,2013-10-07,154,3,6474,5,5,2158,196
30,AW00011029,Jimmy Moreno,74,50 and above,VIP,2013-11-11,153,3,6565,7,7,2188,193
31,AW00011030,Bethany Yuan,68,50 and above,VIP,2013-11-09,153,3,6471,4,4,2157,196
32,AW00011031,Theresa Ramos,73,50 and above,VIP,2013-11-13,153,3,6478,6,6,2159,196
33,AW00011032,Denise Stone,74,50 and above,VIP,2013-11-08,153,3,6525,10,10,2175,197
34,AW00011033,Jaime Nath,68,50 and above,VIP,2013-11-05,153,3,6495,7,7,2165,196
35,AW00011034,Ebony Gonzalez,74,50 and above,VIP,2013-11-10,153,3,6491,4,4,2163,196
36,AW00011035,Wendy Dominguez,73,50 and above,VIP,2013-11-15,153,3,6451,5,5,2150,195
37,AW00011036,Jennifer Russell,42,40-49,New,2013-01-22,163,1,2355,2,2,2355,2355
38,AW00011037,Chloe Garcia,43,40-49,New,2013-01-20,163,1,2374,7,7,2374,2374
