cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,dwh_create_date
11000,AW00011000,Jon,Yang,Married,Male,2025-10-06,2026-07-14 10:10:05.5100000
11001,AW00011001,Eugene,Huang,Single,Male,2025-10-06,2026-07-14 10:10:05.5100000
11002,AW00011002,Ruben,Torres,Married,Male,2025-10-06,2026-07-14 10:10:05.5100000
11003,AW00011003,Christy,Zhu,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11004,AW00011004,Elizabeth,Johnson,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11005,AW00011005,Julio,Ruiz,Single,Male,2025-10-06,2026-07-14 10:10:05.5100000
11006,AW00011006,Janet,Alvarez,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11007,AW00011007,Marco,Mehta,Married,Male,2025-10-06,2026-07-14 10:10:05.5100000
11008,AW00011008,Rob,Verhoff,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11009,AW00011009,Shannon,Carlson,Single,Male,2025-10-06,2026-07-14 10:10:05.5100000
11010,AW00011010,Jacquelyn,Suarez,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11011,AW00011011,Curtis,Lu,Married,Male,2025-10-06,2026-07-14 10:10:05.5100000
11012,AW00011012,Lauren,Walker,Married,Female,2025-10-06,2026-07-14 10:10:05.5100000
11013,AW00011013,Ian,Jenkins,Married,Male,2025-10-06,2026-07-14 10:10:05.5100000
11014,AW00011014,Sydney,Bennett,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11015,AW00011015,Chloe,Young,Single,Female,2025-10-06,2026-07-14 10:10:05.5100000
11016,AW00011016,Wyatt,Hill,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11017,AW00011017,Shannon,Wang,Single,Female,2025-10-07,2026-07-14 10:10:05.5100000
11018,AW00011018,Clarence,Rai,Single,Male,2025-10-07,2026-07-14 10:10:05.5100000
11019,AW00011019,Luke,Lal,Single,Male,2025-10-07,2026-07-14 10:10:05.5100000
11020,AW00011020,Jordan,King,Single,Male,2025-10-07,2026-07-14 10:10:05.5100000
11021,AW00011021,Destiny,Wilson,Single,Female,2025-10-07,2026-07-14 10:10:05.5100000
11022,AW00011022,Ethan,Zhang,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11023,AW00011023,Seth,Edwards,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11024,AW00011024,Russell,Xie,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11025,AW00011025,Alejandro,Beck,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11026,AW00011026,Harold,Sai,Single,Male,2025-10-07,2026-07-14 10:10:05.5100000
11027,AW00011027,Jessie,Zhao,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11028,AW00011028,Jill,Jimenez,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11029,AW00011029,Jimmy,Moreno,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11030,AW00011030,Bethany,Yuan,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11031,AW00011031,Theresa,Ramos,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11032,AW00011032,Denise,Stone,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11033,AW00011033,Jaime,Nath,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11034,AW00011034,Ebony,Gonzalez,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11035,AW00011035,Wendy,Dominguez,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11036,AW00011036,Jennifer,Russell,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11037,AW00011037,Chloe,Garcia,Single,Female,2025-10-07,2026-07-14 10:10:05.5100000
11038,AW00011038,Diana,Hernandez,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11039,AW00011039,Marc,Martin,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11040,AW00011040,Jesse,Murphy,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11041,AW00011041,Amanda,Carter,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11042,AW00011042,Megan,Sanchez,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11043,AW00011043,Nathan,Simmons,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11044,AW00011044,Adam,Flores,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11045,AW00011045,Leonard,Nara,Single,Male,2025-10-07,2026-07-14 10:10:05.5100000
11046,AW00011046,Christine,Yuan,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11047,AW00011047,Jaclyn,Lu,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11048,AW00011048,Jeremy,Powell,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11049,AW00011049,Carol,Rai,Single,Female,2025-10-07,2026-07-14 10:10:05.5100000
11050,AW00011050,Alan,Zheng,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11051,AW00011051,Daniel,Johnson,Single,Male,2025-10-07,2026-07-14 10:10:05.5100000
11052,AW00011052,Heidi,Lopez,Single,Female,2025-10-07,2026-07-14 10:10:05.5100000
11053,AW00011053,Ana,Price,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11054,AW00011054,Deanna,Munoz,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11055,AW00011055,Gilbert,Raje,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11056,AW00011056,Michele,Nath,Married,Female,2025-10-07,2026-07-14 10:10:05.5100000
11057,AW00011057,Carl,Andersen,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11058,AW00011058,Marc,Diaz,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11059,AW00011059,Ashlee,Andersen,Single,Female,2025-10-07,2026-07-14 10:10:05.5100000
11060,AW00011060,Jon,Zhou,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11061,AW00011061,Todd,Gao,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
11062,AW00011062,Noah,Powell,Married,Male,2025-10-07,2026-07-14 10:10:05.5100000
